Y,X1,X2,X3,X4,X5,X6,X7,X8
0.7,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
1.0,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
2.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
1.4,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.8,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
3.8,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.7,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
1.9,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
0.7,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
1.6,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
3.9,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
4.2,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
1.8,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
1.3,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
1.0,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
0.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.5,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
0.8,37.8,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,1.0
1.8,37.8,7855.937052932761,100.0,4.098712446351931,6.925,717.3897142857151,3.993700352214312,1.0
1.3,37.8,7855.937052932761,100.0,4.098712446351931,6.925,717.3897142857151,3.993700352214312,0.001
0.3,37.8,8092.4647887323945,100.0,3.8732394366197185,8.819,717.3897142857151,3.993700352214312,0.001
0.7,37.8,8092.4647887323945,100.0,3.8732394366197185,8.819,717.3897142857151,3.993700352214312,0.001
2.5,37.8,9176.697061803445,100.0,6.484295845997974,7.737,220.0,3.993700352214312,0.001
2.5,37.8,9176.697061803445,100.0,6.484295845997974,7.737,220.0,3.993700352214312,0.001
1.4,37.8,9176.697061803445,100.0,6.484295845997974,7.737,220.0,3.993700352214312,0.001
2.3,37.8,9176.697061803445,100.0,6.484295845997974,7.737,220.0,3.993700352214312,0.001
0.3,37.8,9176.697061803445,100.0,6.484295845997974,7.737,220.0,3.993700352214312,0.001
1.0,37.8,9176.697061803445,100.0,6.484295845997974,7.737,220.0,3.993700352214312,0.001
0.9,37.8,3618.3670343137255,100.0,1.0386029411764706,10.616,590.0,3.993700352214312,0.001
0.8,37.8,3618.3670343137255,100.0,1.0386029411764706,10.616,590.0,3.993700352214312,0.001
3.1,37.8,3618.3670343137255,100.0,1.0386029411764706,10.616,590.0,3.993700352214312,0.001
2.0,37.8,3618.3670343137255,100.0,1.0386029411764706,10.616,590.0,3.993700352214312,0.001
0.2,37.8,3618.3670343137255,100.0,1.0386029411764706,10.616,590.0,3.993700352214312,0.001
0.7,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
1.2,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
0.6,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
2.1,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
1.2,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
0.3,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
0.8,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
1.2,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
0.5,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
1.2,37.8,10173.591943304738,100.0,2.4170085788884745,20.553,146.6,2.060041407867495,0.001
0.7,37.8,15333.21554770318,100.0,28.51590106007067,1.684,717.3897142857151,3.993700352214312,0.001
0.8,37.8,15333.21554770318,100.0,28.51590106007067,1.684,717.3897142857151,3.993700352214312,0.001
0.5,37.8,807.9569399908382,91.94,0.27301878149335773,15.497,203.0,2.5112184130049897,0.001
2.0,37.8,807.9569399908382,91.94,0.27301878149335773,15.497,203.0,2.5112184130049897,0.001
